,0
0,"(27.0238036, 74.21793260000001)"
1,"(22.8241653, 69.54902299999999)"
2,"(22.8241653, 69.54902299999999)"
3,"(22.8241653, 69.54902299999999)"
4,"(21.7412665, 83.2746836)"
5,"(21.4546251, 81.8523556)"
6,"(21.4135252, 79.96822929999999)"
7,"(13.1634295, 74.8123147)"
8,"(22.0265467, 82.4264982)"
9,"(23.7711221, 68.6465736)"
10,"(20.9319821, 77.7523039)"
11,"(22.6822292, 81.7532219)"
12,"(20.9319821, 77.7523039)"
13,"(24.2051762, 82.79653069999999)"
14,"(24.2051762, 82.79653069999999)"
15,"(23.1148065, 81.6987997)"
16,"(21.8834342, 82.4857009)"
17,"(28.5043168, 77.3080313)"
18,"(23.835763, 87.4671838)"
19,"(22.3927896, 82.74736750000001)"
20,"(22.3538518, 82.43735889999999)"
21,"(22.9867569, 87.8549755)"
22,"(21.8966429, 83.17566409999999)"
23,"(25.4007529, 86.0220658)"
24,"(25.4007529, 86.0220658)"
25,"(25.4722676, 85.70818419999999)"
26,"(25.4722676, 85.70818419999999)"
27,"(25.4903043, 85.7467199)"
28,"(28.4542659, 79.80630210000001)"
29,"(27.8217912, 73.2007409)"
30,"(21.1518018, 79.61371299999999)"
31,"(15.1925397, 76.7108305)"
32,"(17.73309, 80.7214417)"
33,"(21.7644725, 72.15193040000001)"
34,"(21.1938475, 81.3509416)"
35,"(21.048309, 75.8410373)"
36,"(22.9734229, 78.6568942)"
37,"(22.0256132, 83.2034779)"
38,"(23.78472, 85.8782915)"
39,"(23.7978583, 85.8844404)"
40,"(26.5030072, 90.5535724)"
41,"(22.4736564, 88.1739326)"
42,"(20.9276401, 79.00399039999999)"
43,"(25.5647103, 83.9777482)"
44,"(21.2786567, 81.8661442)"
45,"(26.2006043, 92.9375739)"
46,"(20.0022771, 79.2930312)"
47,"(23.7417032, 86.11998799999999)"
48,"(24.6212431, 77.0363873)"
49,"(24.6732199, 76.8491387)"
50,"(24.6732199, 76.8491387)"
51,"(24.6732199, 76.8491387)"
52,"(23.6824291, 86.8559116)"
53,"(22.9867569, 87.8549755)"
54,"(28.5525772, 77.55481)"
55,"(27.0238036, 74.21793260000001)"
56,"(19.9570426, 72.74961449999999)"
57,"(14.3278894, 80.1203822)"
58,"(14.3278894, 80.1203822)"
59,"(21.963683, 83.8912462)"
60,"(21.1333575, 84.9973546)"
61,"(20.0136367, 79.1995553)"
62,"(23.6922971, 86.82956449999999)"
63,"(15.9128998, 79.7399875)"
64,"(15.9128998, 79.7399875)"
65,"(21.2786567, 81.8661442)"
66,"(23.5204443, 87.3119227)"
67,"(23.5310277, 87.2499281)"
68,"(13.2145944, 80.3202929)"
69,"(24.7732473, 87.89705649999999)"
70,"(22.9225495, 78.78340589999999)"
71,"(23.2511711, 72.67378649999999)"
72,"(19.7514798, 75.7138884)"
73,"(34.1525864, 77.57705349999999)"
74,"(26.1476121, 80.1707662)"
75,"(26.0678277, 71.2577233)"
76,"(20.2796104, 78.97650829999999)"
77,"(30.210994, 74.9454745)"
78,"(31.3638402, 75.1370254)"
79,"(22.0627164, 88.0832934)"
80,"(28.0094703, 78.132341)"
81,"(22.9867569, 87.8549755)"
82,"(21.7715779, 83.8740633)"
